date,temperature,humidity,water_level,N,P,K,Fan_actuator_OFF,Fan_actuator_ON,Watering_plant_pump_OFF,Watering_plant_pump_ON,Water_pump_actuator_OFF,Water_pump_actuator_ON,optimal_condition
2024-01-01 00:01:00,19,70,85,178,186,157,1.0,0.0,1.0,0.0,1.0,0.0,0
2024-01-01 00:06:00,21,69,81,178,186,157,1.0,0.0,1.0,0.0,1.0,0.0,0
2024-01-01 00:11:00,22,68,93,178,186,157,1.0,0.0,1.0,0.0,1.0,0.0,0
2024-01-01 00:21:00,23,67,97,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 00:26:00,24,68,99,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 00:31:00,24,67,96,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 00:36:00,24,70,78,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 00:41:00,25,68,83,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 00:46:00,26,70,90,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 00:51:00,27,69,89,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 00:56:00,26,69,78,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 01:01:00,27,70,89,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 01:11:00,28,70,91,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 01:16:00,27,69,76,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 01:26:00,25,69,84,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 01:31:00,25,70,96,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 01:51:00,30,70,83,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 02:01:00,31,70,82,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 02:16:00,32,70,100,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 02:21:00,33,70,96,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 03:11:00,33,69,85,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 03:21:00,34,70,95,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
2024-01-01 03:51:00,33,70,100,178,186,157,0.0,1.0,1.0,0.0,1.0,0.0,0
