date,temperature,humidity,water_level,N,P,K,Fan_actuator_OFF,Fan_actuator_ON,Watering_plant_pump_OFF,Watering_plant_pump_ON,Water_pump_actuator_OFF,Water_pump_actuator_ON
2/8/24 6:10,41,63,100,255,255,255,0,1,1,0,1,0
2/8/24 6:15,41,59,100,255,255,255,0,1,1,0,1,0
2/8/24 6:20,41,62,100,255,255,255,0,1,1,0,1,0
2/8/24 6:05,40,60,100,255,255,255,0,1,1,0,1,0
2/8/24 6:00,39,61,100,255,255,255,0,1,1,0,1,0
1/18/24 6:02,38,64,100,255,255,255,0,1,1,0,1,0
1/18/24 6:07,38,65,100,255,255,255,0,1,1,0,1,0
1/18/24 6:12,38,64,100,255,255,255,0,1,1,0,1,0
1/18/24 5:02,37,62,100,255,255,255,0,1,1,0,1,0
1/18/24 5:07,37,63,100,255,255,255,0,1,1,0,1,0
1/18/24 5:12,37,61,100,255,255,255,0,1,1,0,1,0
1/18/24 5:17,37,64,100,255,255,255,0,1,1,0,1,0
1/18/24 5:22,37,61,100,255,255,255,0,1,1,0,1,0
1/18/24 5:37,37,63,100,255,255,255,0,1,1,0,1,0
1/18/24 5:42,37,66,100,255,255,255,0,1,1,0,1,0
1/18/24 5:47,37,62,100,255,255,255,0,1,1,0,1,0
1/18/24 5:52,37,64,100,255,255,255,0,1,1,0,1,0
1/18/24 5:57,37,63,100,255,255,255,0,1,1,0,1,0
1/18/24 6:17,37,64,100,255,255,255,0,1,1,0,1,0
1/25/24 3:46,37,71,100,255,255,255,0,1,1,0,1,0
2/8/24 5:20,37,61,100,255,255,255,0,1,1,0,1,0
2/8/24 5:25,37,61,100,255,255,255,0,1,1,0,1,0
2/8/24 5:35,37,61,100,255,255,255,0,1,1,0,1,0
2/8/24 5:55,37,59,100,255,255,255,0,1,1,0,1,0
1/14/24 5:50,36,49,0,255,255,255,0,1,1,0,0,1
1/14/24 5:51,36,51,0,255,255,255,0,1,1,0,0,1
1/14/24 5:52,36,48,0,255,255,255,0,1,1,0,0,1
1/14/24 5:52,36,48,66,255,255,255,0,1,1,0,0,1
1/14/24 5:52,36,47,0,255,255,255,0,1,1,0,0,1
1/14/24 5:52,36,51,0,255,255,255,0,1,1,0,0,1
1/14/24 5:53,36,47,0,255,255,255,0,1,1,0,0,1
1/14/24 5:53,36,51,0,255,255,255,0,1,1,0,0,1
1/14/24 5:53,36,48,0,255,255,255,0,1,1,0,0,1
1/14/24 5:54,36,50,0,255,255,255,0,1,1,0,0,1
1/14/24 5:54,36,48,0,255,255,255,0,1,1,0,0,1
1/14/24 5:54,36,49,0,255,255,255,0,1,1,0,0,1
1/14/24 5:54,36,51,0,255,255,255,0,1,1,0,0,1
1/14/24 5:55,36,48,0,255,255,255,0,1,1,0,0,1
1/14/24 5:55,36,50,0,255,255,255,0,1,1,0,0,1
1/14/24 5:55,36,48,3,255,255,255,0,1,1,0,0,1
1/14/24 5:55,36,51,2,255,255,255,0,1,1,0,0,1
1/14/24 5:56,36,48,0,255,255,255,0,1,1,0,0,1
1/14/24 5:56,36,51,0,255,255,255,0,1,1,0,0,1
1/14/24 5:56,36,47,0,255,255,255,0,1,1,0,0,1
1/18/24 4:52,36,65,100,255,255,255,0,1,1,0,1,0
1/18/24 4:57,36,63,100,255,255,255,0,1,1,0,1,0
1/18/24 5:27,36,64,100,255,255,255,0,1,1,0,1,0
1/18/24 5:32,36,62,100,255,255,255,0,1,1,0,1,0
1/25/24 3:01,36,66,100,255,255,255,0,1,1,0,1,0
1/25/24 3:06,36,69,100,255,255,255,0,1,1,0,1,0
1/25/24 3:11,36,68,100,255,255,255,0,1,1,0,1,0
1/25/24 3:16,36,68,100,255,255,255,0,1,1,0,1,0
1/25/24 3:21,36,67,100,255,255,255,0,1,1,0,1,0
1/25/24 3:26,36,66,100,255,255,255,0,1,1,0,1,0
1/25/24 3:31,36,65,100,255,255,255,0,1,1,0,1,0
1/25/24 3:36,36,68,100,255,255,255,0,1,1,0,1,0
1/25/24 3:41,36,70,100,255,255,255,0,1,1,0,1,0
1/25/24 3:51,36,68,100,255,255,255,0,1,1,0,1,0
1/25/24 3:56,36,68,100,255,255,255,0,1,1,0,1,0
1/25/24 4:01,36,69,100,255,255,255,0,1,1,0,1,0
1/25/24 4:06,36,65,100,255,255,255,0,1,1,0,1,0
1/25/24 4:11,36,70,100,255,255,255,0,1,1,0,1,0
2/5/24 2:50,36,61,100,255,255,255,0,1,1,0,1,0
2/5/24 2:55,36,59,100,255,255,255,0,1,1,0,1,0
